client_id,annual_income,ccavg_income_ratio,ccavg_spend,credit_card_with_bank,digital_user,dti_z,education_level,exp_age_gap,experience_years,family_size,has_invest_acct,has_personal_loan,income_per_person_z,mortgage_balance_z,online_banking,securities_acct,risk_grade
1,49,0.0326530612244898,1.6,0,0,-0.5587100507954694,1,24,1,4,1,0,-0.7634441116529187,-0.5555239265453629,0,1,A
2,34,0.0441176470588235,1.5,0,0,-0.5587100507954694,1,26,19,3,1,0,-0.786664537357828,-0.5555239265453629,0,1,B
3,11,0.0909090909090909,1.0,0,0,-0.5587100507954694,1,24,15,1,0,0,-0.7951083285232496,-0.5555239265453629,0,0,A
4,100,0.027,2.7,0,0,-0.5587100507954694,2,26,9,1,0,0,1.4593839126443162,-0.5555239265453629,0,0,D
5,45,0.0222222222222222,1.0,1,1,-0.5587100507954694,2,27,8,4,0,0,-0.7887754851491835,-0.5555239265453629,0,0,A
6,29,0.0137931034482758,0.4,0,1,2.4978690564134114,2,24,13,4,0,0,-0.8901009791342426,0.96851213465472,1,0,B
7,72,0.0208333333333333,1.5,0,1,-0.5587100507954694,2,26,27,2,0,0,-0.16182399111663,-0.5555239265453629,1,0,B
8,22,0.0136363636363636,0.3,1,1,-0.5587100507954694,3,26,24,1,0,0,-0.516463220064337,-0.5555239265453629,0,0,A
9,81,0.0074074074074074,0.6,0,1,0.175550609287524,2,25,10,3,0,0,-0.3898063525830131,0.4670551080663056,1,0,B
10,180,0.0494444444444444,8.9,0,0,-0.5587100507954694,3,25,9,1,0,1,3.485893792345499,-0.5555239265453629,0,0,D
11,105,0.0228571428571428,2.4,0,0,-0.5587100507954694,3,26,39,4,0,0,-0.4088048827052117,-0.5555239265453629,0,0,B
12,45,0.0022222222222222,0.1,0,1,-0.5587100507954694,2,24,5,3,0,0,-0.6937828345381906,-0.5555239265453629,1,0,B
13,114,0.0333333333333333,3.8,0,0,-0.5587100507954694,3,25,23,2,1,0,0.3701348523049304,-0.5555239265453629,0,1,D
14,40,0.0625,2.5,0,1,-0.5587100507954694,2,27,32,4,0,0,-0.8204397020195144,-0.5555239265453629,1,0,A
15,112,0.0178571428571428,2.0,0,0,-0.5587100507954694,1,26,41,1,1,0,1.7633603945994936,-0.5555239265453629,0,1,D
16,22,0.0681818181818181,1.5,1,1,-0.5587100507954694,3,30,30,1,0,0,-0.516463220064337,-0.5555239265453629,1,0,A
17,130,0.0361538461538461,4.7,0,0,0.0307622276468982,3,24,14,4,0,1,-0.2504837983535568,0.7620298295889023,0,0,D
18,81,0.0296296296296296,2.4,0,0,-0.5587100507954694,1,24,18,4,0,0,-0.5607931236828004,-0.5555239265453629,0,0,C
19,193,0.0419689119170984,8.1,0,0,-0.5587100507954694,3,25,21,2,0,1,1.370724105407389,-0.5555239265453629,0,0,D
20,21,0.0238095238095238,0.5,1,1,-0.5587100507954694,2,27,28,1,1,0,-0.5417945935606018,-0.5555239265453629,0,1,B
21,25,0.036,0.9,0,1,1.98041979336076,2,25,31,4,0,0,-0.9154323526305074,0.5358825430882449,1,0,A
22,63,0.0317460317460317,2.0,0,1,-0.5587100507954694,3,30,27,3,0,0,-0.5417945935606018,-0.5555239265453629,1,0,A
23,62,0.0193548387096774,1.2,0,1,1.8394800083465657,1,24,5,1,0,0,0.4967917197862543,2.0009236599838083,1,0,B
24,43,0.0162790697674418,0.7,0,0,1.6090993175130646,1,26,18,2,1,0,-0.5291289068124694,1.047172060394079,0,1,B
25,152,0.0256578947368421,3.9,1,1,0.0395024391595453,1,25,11,2,0,0,0.8514309487339613,1.0078420975243996,0,0,D
26,29,0.0172413793103448,0.5,0,1,1.354116874361056,1,24,19,3,0,0,-0.8288834931849361,0.3982276730443664,1,0,A
27,83,0.0024096385542168,0.2,0,0,-0.5587100507954694,3,24,16,4,0,0,-0.548127436934668,-0.5555239265453629,0,0,D
28,158,0.0151898734177215,2.4,1,1,-0.5587100507954694,1,26,20,1,0,0,2.9286035754276734,-0.5555239265453629,1,0,C
29,48,0.0458333333333333,2.2,1,1,-0.5587100507954694,3,26,30,1,0,0,0.1421524908385473,-0.5555239265453629,1,0,C
30,119,0.0277310924369747,3.3,1,1,-0.5587100507954694,2,25,13,1,1,1,1.940680009073347,-0.5555239265453629,1,0,D
31,35,0.0342857142857142,1.2,0,1,1.4346866093529214,3,24,35,1,0,0,-0.1871553646128948,0.6440399409798636,1,0,C
32,29,0.0689655172413793,2.0,0,1,-0.5587100507954694,2,24,16,1,0,0,-0.3391436055904835,-0.5555239265453629,1,0,B
33,41,0.0146341463414634,0.6,0,0,2.133292036230196,3,25,28,2,0,0,-0.5544602803087342,1.3421467819166757,0,0,A
34,18,0.05,0.9,0,0,-0.5587100507954694,3,24,6,3,0,0,-0.9217651960045736,-0.5555239265453629,0,0,C
35,50,0.036,1.8,0,1,-0.5587100507954694,3,26,5,4,0,0,-0.7571112682788524,-0.5555239265453629,1,0,A
36,81,0.0086419753086419,0.7,0,0,-0.5587100507954694,1,24,24,3,0,0,-0.3898063525830131,-0.5555239265453629,0,0,A
37,121,0.0239669421487603,2.9,1,1,-0.5587100507954694,1,24,35,1,0,0,1.9913427560658763,-0.5555239265453629,0,0,C
38,71,0.0197183098591549,1.4,0,0,1.0360993298127443,3,26,25,1,0,0,0.7247740812526374,1.391309235503775,0,0,B
39,141,0.0354609929078014,5.0,0,1,-0.5587100507954694,3,24,18,3,1,1,0.1168211173422825,-0.5555239265453629,1,1,D
40,80,0.0087499999999999,0.7,0,1,1.4785985234852883,3,25,13,4,0,0,-0.5671259670568666,2.246735927919305,1,0,C
41,84,0.019047619047619,1.6,0,0,-0.5587100507954694,3,25,32,3,1,0,-0.3644749790867483,-0.5555239265453629,0,1,D
42,60,0.0383333333333333,2.3,0,0,-0.5587100507954694,1,25,9,3,0,0,-0.5671259670568666,-0.5555239265453629,0,0,B
43,132,0.0083333333333333,1.1,0,1,1.2262365363468426,2,25,7,4,0,1,-0.2378181116054244,3.495462249031632,1,0,D
44,45,0.0155555555555555,0.7,0,1,-0.5587100507954694,1,24,15,1,0,0,0.066158370349753,-0.5555239265453629,1,0,A
45,104,0.0548076923076923,5.7,1,1,-0.5587100507954694,1,26,20,1,0,0,1.5607094066293752,-0.5555239265453629,1,0,D
46,52,0.048076923076923,2.5,1,1,-0.5587100507954694,1,26,31,4,0,0,-0.74444558153072,-0.5555239265453629,0,0,B
47,43,0.0162790697674418,0.7,0,1,1.476104877739535,2,25,14,3,0,0,-0.7106704168690336,0.9488471532198802,1,0,A
48,194,0.0010309278350515,0.2,1,1,0.0632788935680536,3,25,12,4,1,1,0.1548181775866797,1.5191316148302336,1,1,D
49,81,0.0555555555555555,4.5,1,1,-0.5587100507954694,3,30,26,2,0,0,-0.0478328103834385,-0.5555239265453629,0,0,C
50,49,0.036734693877551,1.8,1,1,-0.5587100507954694,1,24,16,1,0,0,0.1674838643348121,-0.5555239265453629,0,0,B
51,8,0.0875,0.7,0,1,-0.5587100507954694,2,24,8,4,1,0,-1.0230906899896328,-0.5555239265453629,1,1,B
52,131,0.0221374045801526,2.9,0,1,-0.5587100507954694,1,24,37,1,0,0,2.2446564910285245,-0.5555239265453629,1,0,C
53,72,0.0013888888888888,0.1,0,0,1.0854337109047911,1,24,6,1,0,0,0.7501054547489021,1.479801651960554,0,0,B
54,190,0.0110526315789473,2.1,0,1,0.1636597483954918,3,24,26,3,0,1,0.5305668844479408,1.8042738456354104,1,0,D
55,44,0.0045454545454545,0.2,0,1,-0.5587100507954694,3,24,5,1,0,0,0.0408269968534882,-0.5555239265453629,1,0,C
56,139,0.0575539568345323,8.0,0,1,-0.5587100507954694,1,24,17,2,0,0,0.6867770210082402,-0.5555239265453629,1,0,C
57,29,0.0034482758620689,0.1,0,1,-0.5587100507954694,2,25,30,3,1,0,-0.8288834931849361,-0.5555239265453629,1,1,B
58,131,0.0091603053435114,1.2,0,0,-0.5587100507954694,3,25,31,2,0,1,0.585451527023181,-0.5555239265453629,0,0,D
59,93,0.0021505376344086,0.2,0,0,-0.5587100507954694,1,26,2,2,0,0,0.1041554305941501,-0.5555239265453629,0,0,B
60,188,0.0239361702127659,4.5,0,0,0.8253517652519285,1,26,5,2,0,0,1.3073956716667274,3.918259349880687,0,0,D
61,39,0.0435897435897435,1.7,0,1,-0.5587100507954694,2,25,24,3,1,0,-0.74444558153072,-0.5555239265453629,1,1,B
62,125,0.0456,5.7,0,0,-0.0463090732360142,1,26,21,1,1,0,2.092668250050936,0.5457150338056648,0,1,D
63,22,0.0454545454545454,1.0,0,0,-0.5587100507954694,1,24,18,1,0,0,-0.516463220064337,-0.5555239265453629,0,0,B
